STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DEU,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Germany,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,11.353,9.855,9.465,8.308,8.307,8.451,8.156,7.231,6.41,6.365,6.239,6.701,6.266,6.011,5.607,7.295,7.868,7.223,7.683,7.451,7.457
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HRV,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Croatia,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,16.719,14.182,12.866,11.622,13.502,15.666,16.218,16.649,19.561,18.871,17.952,16.664,15.26,13.33,11.966,12.055,12.53,11.425,9.874,8.027,8.092
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHL,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Chile,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,20.165,19.888,20.349,21.499,23.202,19.536,19.176,18.046,18.413,18.96,19.198,17.502,18.277,17.747,17.53,19.222,15.335,14.42,15.321,13.759,13.843
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,POL,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Poland,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,14.534,14.288,12.043,11.14,12.094,12.591,13.267,13.531,14.085,13.716,11.841,11.544,10.585,9.974,9.573,10.136,12.445,10.5,10.236,10.543,10.526
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IBT,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,IDA & IBRD total,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,24.098309842443598,23.99585095848242,23.725069599816432,23.45901420205438,23.356153080636144,23.03818719983416,22.57160715538605,22.27435360731172,22.260522419404055,22.27370368983194,22.469731667194488,22.706183032421073,22.8344295967405,22.81915668811745,22.768636560272288,24.047796670788895,22.68580781070789,21.69436322589377,20.65983100151767,20.83394915671245,20.967000993286327
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BRA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Brazil,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,19.074,19.244,19.179,18.323,18.794,19.034,19.397,20.536,20.902,20.686,22.103,23.803,24.866,24.605,23.986,25.991,23.377,20.975,20.621,19.312,19.361
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Afghanistan,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,42.31,42.276,42.179,42.18,42.071,41.979,41.974,41.736,41.549,41.36,41.887,42.379,42.84,42.722,42.56,53.764,51.802,56.063,55.995,55.84,55.713
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,China,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,16.976,17.114,16.822,16.7,16.504,15.877,15.351,14.761,13.996,13.214,12.628,12.135,11.625,10.675,10.683,12.072,10.848,10.756,10.92,10.847,11.229
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GMB,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Gambia, The","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,30.914,31.074,31.167,31.112,31.053,31.023,31.109,31.083,30.787,30.43,30.089,29.752,29.361,28.987,31.078,33.584,35.677,37.648,39.848,39.835,39.824
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ITA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Italy,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,17.284,16.804,16.162,16.591,17.566,18.997,19.675,20.971,22.166,22.183,21.457,19.974,20.2,19.239,18.128,19.132,19.768,15.858,12.672,11.959,12.075
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHI,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Channel Islands,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,9.534,9.096,8.684,8.898,11.098,11.701,11.955,12.749,13.464,12.453,11.529,10.961,10.138,9.288,9.139,10.369,9.703,8.161,8.186,8.087,8.098
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLV,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,El Salvador,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,27.831,27.276,27.223,27.511,28.93,27.214,25.91,26.025,25.352,28.504,28.541,28.224,28.398,27.149,27.94,25.169,26.152,23.462,21.518,21.657,21.795
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Argentina,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,19.874,19.509,19.261,19.421,20.036,19.459,18.405,18.406,19.07,19.675,19.5,19.431,19.246,19.023,19.228,22.328,16.118,15.872,15.028,16.324,16.358
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NGA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Nigeria,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12.194,12.655,13.046,13.26,12.964,13.206,13.016,13.067,13.132,13.268,13.539,14.055,14.655,15.079,15.497,16.2,15.456,13.86,13.417,13.466,13.515
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SAU,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Saudi Arabia,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,25.721,25.983,25.851,25.67,25.652,24.785,24.264,23.093,22.119,20.806,19.676,17.813,17.474,16.748,15.6,20.323,19.22,18.369,16.986,16.163,16.225
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LIC,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Low income,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,25.318837222561125,25.389426102523,25.49626391654664,25.57558042736918,25.33753975382821,25.327234589323783,25.112776985582205,25.851673215914012,25.656168365601292,26.267996142783204,26.84865364799463,27.935318430067014,28.46312429980781,28.828142863196835,29.326993790441502,30.69414063856888,30.26185782069573,30.12387661393125,28.68438086512963,28.539856934380754,28.54660048357176
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JAM,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Jamaica,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,28.385,28.363,28.082,27.836,30.704,31.609,31.524,32.302,33.782,32.959,31.498,29.764,27.877,26.058,22.908,29.665,26.052,21.79,19.696,19.851,20.005
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LUX,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Luxembourg,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5.498,6.694,5.659,6.206,6.124,5.215,4.999,5.736,5.364,6.344,5.808,6.218,6.195,5.599,4.775,6.712,9.827,9.969,8.184,9.459,9.434
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PNG,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Papua New Guinea,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,35.338,35.377,35.392,35.497,35.52,35.503,35.166,34.505,33.843,33.038,32.315,31.609,30.945,30.309,29.612,29.238,28.573,27.69,27.689,27.689,27.707
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PAK,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Pakistan,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,35.856,36.169,34.914,33.333,31.47,31.103,32.0,32.452,31.012,30.91,30.41,30.084,30.515,30.958,29.708,34.821,34.564,34.311,34.197,34.283,34.37
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TSS,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Sub-Saharan Africa (IDA & IBRD),"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,20.36478301889122,20.237514266270527,20.131994789947473,20.072507171788924,19.917473429246012,19.93836362004165,19.801468273240996,20.099584795116137,20.044823241183316,20.52536593501557,20.925160872439452,21.46525904785745,21.82726993010352,22.230988318568436,22.688697870584587,23.183878267908263,22.85862203377641,22.60952420302558,21.380784705985832,21.356685549226956,21.389637950235873
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EST,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Estonia,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,10.944,8.914,9.392,9.092,14.466,14.026,11.568,12.2,11.319,11.749,11.482,9.568,10.026,10.348,7.859,9.204,10.921,10.735,9.595,10.233,10.266
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Eastern & Southern Africa,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,21.868310586205446,21.56005278480597,21.361534506651136,21.232991829145483,21.075960033847323,21.098768141789563,20.76831633663189,21.019773784163146,20.721674475716124,21.08133361255925,21.2237572260492,21.807166835412684,22.49248597508939,23.13250050471742,23.77606079427479,24.39740052865965,24.329056807182344,24.44906569382301,22.588251004031772,22.409987387136418,22.444600291590284
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,15.724101204467129,14.888671976783943,13.136468909089551,12.424628630050494,14.005682850898976,13.852965051009784,14.273760210703054,14.406166113789135,14.743243827482425,14.19781326514153,13.20565975020771,12.687547662383986,11.598956008201359,10.760588725818703,10.627750909959639,11.186296908475843,12.578824335212161,11.57969510753582,11.067332928548957,10.995481952489344,11.020221651770205
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSS,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Pacific island small states,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,18.828663871562615,20.472328036227346,22.326665841084385,21.270713401845637,20.29572598644504,19.786420691629235,18.64001944950045,18.75658604532669,18.735341420031922,18.708503661954303,18.79710584369564,18.911044233443185,18.783242686868533,18.696089953173818,18.683920976497742,21.07032853106575,19.275327286276234,19.06797484628956,19.00658848086824,19.08678106273857,19.143527241067392
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UKR,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ukraine,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,22.142,21.194,20.228,19.58,20.422,20.055,19.39,19.122,19.022,19.98,17.63,18.26,16.47,15.91,14.874,16.617,17.414,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KWT,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Kuwait,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,19.064,19.128,19.538,19.634,19.198,18.985,18.263,17.465,17.164,17.137,16.551,16.213,16.164,15.915,15.794,17.447,16.737,15.538,15.285,15.473,15.648
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,RWA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Rwanda,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,28.065,27.573,27.195,26.836,26.485,26.193,25.949,25.778,26.195,25.635,25.559,25.489,25.594,26.304,28.55,26.139,29.042,28.584,27.923,25.862,25.981
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MNA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,35.39292110602298,35.33283121030458,34.549682098553774,33.87989463975032,33.18715655048188,33.4140235683945,33.507791860258685,33.32696463738029,32.468259411842986,32.205581589641994,32.182802057279424,32.03100787516507,32.16316711614212,32.25259506291133,31.697266076320684,34.83504366755572,34.02287542767638,33.6773191702545,33.149170050152605,33.32078340783865,33.39752453789122
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BRB,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Barbados,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,25.465,25.263,24.154,24.691,26.292,27.54,28.408,29.536,29.615,30.893,29.942,28.993,29.198,28.316,28.748,30.218,29.726,27.002,25.993,26.089,26.185
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SSD,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,South Sudan,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,28.635,28.724,28.859,29.061,29.493,29.786,30.378,31.353,31.028,30.556,30.524,30.86,30.502,30.803,31.701,33.735,33.663,33.591,34.094,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LSO,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lesotho,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,35.065,35.226,35.254,35.217,35.307,35.182,35.062,34.741,34.837,34.839,34.937,34.836,34.966,35.038,35.152,36.428,36.691,36.758,37.265,37.98,38.091
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KEN,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Kenya,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,22.696,21.821,20.946,20.226,19.44,18.544,17.639,16.809,16.077,15.313,14.567,13.731,15.602,17.596,19.667,19.455,18.503,19.274,19.329,19.435,19.54
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECU,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Ecuador,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,17.459,17.047,16.368,16.145,16.498,15.66,16.433,16.554,17.357,20.234,19.811,18.44,17.56,17.67,17.516,19.462,18.497,17.99,18.634,18.951,18.948
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LTU,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Lithuania,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,8.77,8.316,7.071,8.85,12.121,13.174,11.825,11.171,11.144,9.911,9.196,9.405,9.149,8.039,8.649,10.76,11.314,9.653,13.546,14.912,14.767
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MOZ,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Mozambique,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,17.924,17.85,17.746,17.707,17.785,17.763,17.873,17.939,17.917,17.965,18.026,18.092,18.141,18.199,18.212,18.76,18.657,19.239,19.156,19.227,19.297
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UGA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uganda,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12.357,12.558,12.787,13.019,13.322,13.421,10.939,14.527,9.523,13.889,15.208,16.645,18.104,17.486,16.846,15.712,13.765,13.336,13.257,13.297,13.337
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LCA,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,St. Lucia,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,31.973,30.468,29.149,27.341,29.214,31.317,32.53,33.762,36.47,35.795,35.311,34.411,33.755,32.492,29.941,35.411,39.203,27.088,30.931,22.627,22.812
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRK,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Korea, Dem. People's Rep.","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12.578,12.677,12.773,12.628,12.672,12.592,12.654,12.659,12.748,12.523,12.494,12.551,12.244,11.644,11.283,12.593,11.395,10.072,9.636,9.518,9.365
