STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRY,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Paraguay,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,18.877,19.186,19.558,17.552,18.007,19.5,16.908,16.016,14.584,16.831,17.45,18.568,18.586,18.429,18.414,19.48,18.372,18.184,17.223,17.278,17.332
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IRN,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Iran, Islamic Rep.","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,36.009,35.806,34.456,34.193,34.833,34.426,32.9,32.103,33.452,33.334,32.746,32.382,32.263,32.09,30.401,29.404,27.468,26.94,25.65,25.8,25.95
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PST,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Post-demographic dividend,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12.475792232703599,11.864722067975162,11.41989229103351,11.596037530164201,13.080914004765251,13.105555622798011,12.814885526189876,12.650099738522819,12.826594777209205,12.228518560564336,11.637076755539692,11.290399997396102,10.61476000686231,10.420137887294603,10.076806884893363,12.00540069518307,10.890400759389172,9.844248351935823,9.797174216847083,10.103776903453946,10.150265688781142
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IBD,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,IBRD only,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,24.08924853216905,23.892379306822008,23.5882641031769,23.30874490119973,23.293128597151316,22.923883587082166,22.260055163549307,21.716564192330072,21.768313620360814,21.6391325841583,21.803193769394284,21.99748412275512,22.09114010805375,22.087834114914852,22.06352050164172,23.36369888650457,21.58349621790364,20.3403231390757,19.216444040185777,19.41522449058981,19.56221957374746
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDX,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,IDA only,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,23.8565227503099,24.030157329643057,24.005412787826206,23.936251743556,23.84221735678711,23.634649493937065,23.611261622451437,24.08649749962087,24.122699322212735,24.68392403057166,25.11837127504107,25.551634225132325,25.522632110363595,25.18562004109546,25.086250619287878,25.74436771315663,25.221052276630125,24.76860513842654,23.680196386407456,23.826943621309848,23.901438950403794
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DOM,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Dominican Republic,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,26.571,25.811,26.015,25.417,26.589,25.881,26.268,26.158,26.835,25.411,25.232,25.374,24.336,24.5,24.727,37.702,27.333,26.61,25.678,25.688,25.773
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COD,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Congo, Dem. Rep.","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,18.459,18.973,19.469,19.744,20.15,20.559,20.972,21.36,21.307,21.138,20.991,23.13,25.205,27.109,28.895,31.372,31.174,30.435,30.191,30.136,30.083
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CPV,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Cabo Verde,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,34.664,34.73,34.862,34.895,35.002,33.245,32.966,32.872,32.457,32.238,32.156,31.759,31.4,30.25,27.99,29.312,28.657,27.941,27.882,28.022,28.161
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRI,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Puerto Rico,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,22.747,22.925,23.315,23.261,24.716,24.822,24.59,24.052,23.668,23.155,21.682,21.378,20.112,18.745,18.844,19.487,19.717,19.763,20.333,20.423,20.513
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MKD,WB_WDI_SL_UEM_NEET_ME_ZS,_T,_T,_T,PT,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,North Macedonia,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,35.033,34.944,33.649,31.24,27.941,26.423,25.322,25.05,24.315,25.495,24.907,24.807,25.344,24.496,18.669,19.844,18.311,18.427,19.131,18.47,18.537
