"","code","year","speed","SL.TLF.ACTI.FE.ZS_fut","EG.ELC.ACCS.ZS_fut","IT.NET.USER.ZS_fut","SI.SPR.PGAP_fut","IQ.SPI.OVRL_fut","wat_sm_t_fut","wat_imp_prem_t_fut","wat_imp_qual_t_fut","wat_imp_av_t_fut","electricity_fut","ghggdp_fut","lifeexpectancy_fut","gender_fut","education_fut"
"1","AFG",2025,0.25,5.4,87.99875,17.0835621319608,NA,54.8675,30.7125,50.9675,30.6825,43.40125,0.205,NA,66.3725,4.235,2.545
"2","AFG",2025,0.5,5.4,88.1950316455697,18.0882017363592,NA,55.3348128342246,30.825,51.235,30.765,43.60375,0.21,NA,66.445,4.27,2.59
"3","AFG",2025,1,5.4,88.5790218431358,20.1557812185114,NA,56.2648128342246,31.05,51.77,30.93,44.0113271604938,0.22,NA,66.59,4.34571428571429,2.68
"4","AFG",2025,2,5.4,89.3160451007532,24.4917719097653,NA,58.1116776773326,31.4955555555555,52.831214953271,31.2678787878788,44.837806760012,0.24,NA,66.8703448275862,4.50571428571428,2.86
"5","AFG",2025,4,5.4,90.6668897305871,33.622575936664,NA,61.770076524151,32.3647474747476,54.9403544348439,31.9478787878788,46.5318613325873,0.28,NA,67.4144207261448,4.82571428571428,3.22222222222226
"6","AFG",2026,0.25,5.4025,88.1950316455696,18.0882017363594,NA,55.3348128342246,30.825,51.235,30.765,43.60375,0.2075,NA,66.445,4.2525,2.5675
"7","AFG",2026,0.5,5.405,88.5790218431358,20.1557812185112,NA,56.2648128342246,31.05,51.77,30.93,44.0113271604938,0.215,NA,66.59,4.30571428571428,2.635
"8","AFG",2026,1,5.41,89.3160451007532,24.4917719097653,NA,58.1116776773322,31.4955555555556,52.831214953271,31.2678787878788,44.837806760012,0.23,NA,66.8703448275862,4.42571428571429,2.77000000000001
"9","AFG",2026,2,5.42,90.6668897305868,33.622575936664,NA,61.7700765241516,32.3647474747475,54.9403544348441,31.9478787878788,46.5318613325871,0.26,NA,67.4144207261448,4.66571428571428,3.04
"10","AFG",2026,4,5.44,92.9253836092519,50.7875256256482,NA,68.8789660908519,34.0099336346202,59.0598337477633,33.3078787878788,50.0213806953071,0.32,NA,68.4317729779798,5.14571428571428,3.62222222222226
"11","AFG",2027,0.25,5.405,88.3888773937033,19.1124447958775,NA,55.7998128342246,30.9375,51.5025,30.8475,43.8063271604939,0.21,NA,66.5175,4.27,2.59
"12","AFG",2027,0.5,5.41,88.952240566562,22.2941089136008,NA,57.1900020125353,31.275,52.301214953271,31.0978787878788,44.422806760012,0.22,NA,66.7303448275862,4.34571428571428,2.68
"13","AFG",2027,1,5.42,90.0108199128154,29.0170724477382,NA,59.9465055160425,31.9347474747475,53.8903544348439,31.6078787878788,45.6791652705804,0.24,NA,67.1449753694581,4.50571428571429,2.86000000000001
"14","AFG",2027,2,5.44,91.8663906152487,42.6252526217254,NA,65.3727974771716,33.2029430517803,57.0187432880996,32.6278787878788,48.264092278315,0.28,NA,67.9330968520624,4.82571428571428,3.22222222222222
"15","AFG",2027,4,5.48,94.6747237187432,64.0065427399704,NA,75.4112223391257,35.5194944897316,63.00540960599,34.68752228164,53.5258372991492,0.36,NA,69.3754491038974,5.46571428571428,4.02222222222226
"16","AFG",2028,0.25,5.4075,88.5790218431358,20.1557812185112,NA,56.2648128342246,31.05,51.77,30.93,44.0113271604938,0.2125,NA,66.59,4.2875,2.6125
